timesec,feature_mean
3.606,232.280,close
3.642,230.840,close
3.678,231.080,close
3.709,232.960,close
3.744,229.140,close
3.773,231.640,close
3.804,231.160,close
3.840,234.540,close
3.874,230.560,close
3.907,235.080,close
3.940,230.620,close
3.978,234.900,close
4.007,231.480,close
4.049,233.920,close
4.073,232.340,close
4.106,235.540,close
4.140,231.680,close
4.177,233.580,close
4.206,234.180,close
4.240,231.460,close
4.274,236.040,close
4.305,233.900,close
4.339,234.580,close
4.376,231.700,close
4.410,239.320,close
4.443,236.000,close
4.479,237.940,close
4.505,235.000,close
4.545,232.120,close
4.574,237.560,close
4.611,235.700,close
4.644,234.420,close
4.674,238.660,close
4.708,238.780,close
4.739,235.700,close
4.779,238.020,close
4.805,233.740,close
4.849,238.080,close
4.882,235.200,close
4.907,234.200,close
4.940,237.100,close
4.977,235.640,close
5.012,242.020,close
5.039,237.960,close
5.074,236.320,close
5.106,243.980,close
5.144,237.740,close
5.177,240.200,close
5.207,239.040,close
5.244,240.300,close
5.277,239.260,close
5.310,238.680,close
5.345,242.640,close
5.377,241.380,close
5.406,238.940,close
5.440,239.940,close
5.481,240.300,close
5.507,236.960,close
5.545,237.500,close
5.574,239.780,close
5.608,241.100,close
5.641,243.100,close
5.678,244.380,close
5.706,236.940,close
5.745,242.960,close
5.780,236.160,close
5.811,237.340,close
5.845,240.660,close
5.878,245.320,close
5.907,237.260,close
5.946,247.840,close
5.984,242.280,close
6.006,241.240,close
6.041,243.580,close
6.078,246.380,close
6.112,244.160,close
6.140,239.520,close
6.178,242.720,close
6.209,242.900,close
6.241,241.340,close
6.276,240.000,close
6.307,243.480,close
6.344,245.640,close
6.379,242.900,close
6.417,243.240,close
6.445,242.440,close
6.478,241.340,close
6.507,241.780,close
6.541,244.700,close
6.575,242.200,close
6.607,240.740,close
6.641,242.440,close
6.680,250.000,close
6.706,238.500,close
6.744,242.340,close
6.776,241.460,close
6.811,244.120,close
6.848,241.840,close
6.879,242.000,close
6.906,241.180,close
6.941,240.360,close
6.980,243.980,close
7.006,242.560,close
7.041,241.920,close
7.080,243.780,close
0.038,240.360,init
0.063,243.100,init
0.099,243.520,init
0.130,242.200,init
0.163,239.020,init
0.195,242.000,move
0.229,250.040,move
0.268,237.980,move
0.297,245.660,move
0.332,244.040,move
0.365,245.920,move
0.399,243.640,move
0.431,244.040,move
0.465,242.440,move
0.496,242.440,move
0.530,247.360,move
0.566,236.460,move
0.596,241.580,move
0.632,245.100,move
0.667,244.480,move
0.697,242.980,move
0.735,236.400,move
0.769,237.560,move
0.799,238.220,move
0.833,240.660,move
0.864,244.000,move
0.897,241.420,move
0.931,237.380,move
0.964,237.960,move
1.004,238.360,move
1.031,240.160,move
1.066,237.780,move
1.097,243.240,move
1.136,241.560,move
1.165,242.140,move
1.197,243.540,move
1.232,239.760,move
1.265,240.600,move
1.296,241.980,move
1.331,240.900,move
1.364,235.920,move
1.396,243.020,move
1.431,245.420,move
1.469,240.820,move
1.497,241.400,move
1.533,242.260,move
1.566,240.120,move
1.598,240.780,move
1.632,242.160,move
1.670,244.760,move
1.697,241.820,move
1.732,240.140,move
1.772,239.520,move
1.797,240.960,move
1.831,240.760,move
1.869,243.120,move
1.898,244.100,move
1.936,240.120,move
1.967,241.480,move
1.998,241.000,move
2.031,237.140,move
2.065,238.460,move
2.099,239.600,move
2.132,244.960,move
2.165,236.480,move
2.197,237.920,move
2.240,239.920,move
2.265,237.260,move
2.301,238.260,move
2.338,237.520,move
2.365,237.280,move
2.400,237.440,move
2.433,239.820,move
2.465,239.400,move
2.497,239.260,move
2.531,237.720,move
2.567,240.200,move
2.597,244.060,move
2.636,234.900,move
2.669,240.160,move
2.701,241.280,close
2.739,238.080,close
2.771,240.480,close
2.804,238.320,close
2.842,240.900,close
2.866,237.220,close
2.901,240.320,close
2.934,238.060,close
2.971,239.680,close
3.003,239.120,close
3.036,236.960,close
3.067,238.980,close
3.101,238.560,close
3.134,242.780,close
3.166,237.180,close
3.202,237.440,close
3.237,236.760,close
3.270,236.840,close
3.297,239.740,close
3.332,238.120,close
3.367,237.540,close
3.398,237.120,close
3.435,234.800,close
3.466,234.660,close
3.499,235.520,close
3.535,234.560,close
3.567,235.580,close
3.605,236.240,close
3.634,236.840,close
3.669,233.260,close
3.698,238.760,close
3.733,233.860,close
3.767,234.780,close
3.798,234.840,close
3.839,237.040,close
3.875,236.100,close
3.904,233.160,close
3.933,237.780,close
3.966,235.740,close
3.998,235.720,close
4.032,235.240,close
4.066,237.160,close
4.099,234.340,close
4.135,235.960,close
4.171,233.600,close
4.199,234.600,close
4.235,233.660,close
4.267,232.080,close
4.301,232.560,close
4.343,236.700,close
4.366,230.580,close
4.398,232.340,close
4.433,232.560,close
4.468,234.220,close
4.497,232.180,close
4.532,233.980,close
4.566,238.180,close
4.601,233.700,close
4.634,232.800,close
4.667,235.480,close
4.701,237.880,close
4.735,233.700,close
4.768,230.580,close
4.799,236.400,close
4.834,234.020,close
4.865,234.780,close
4.901,234.580,close
4.933,230.180,close
4.967,231.280,close
4.999,232.200,close
5.038,238.880,close
5.069,233.900,close
5.101,235.060,close
5.133,234.700,close
5.167,234.880,close
5.201,236.480,close
5.236,232.880,close
5.266,235.100,close
5.300,234.880,close
5.334,238.620,close
5.369,238.440,close
5.402,240.700,close
5.436,237.200,close
5.472,233.060,close
5.501,238.180,close
5.536,236.400,close
5.569,236.600,close
5.599,236.920,close
5.633,235.940,close
5.669,235.620,close
5.700,237.000,close
5.736,238.920,close
5.772,238.360,close
5.801,240.520,close
5.836,235.500,close
5.869,240.740,close
5.901,235.200,close
5.937,237.820,close
5.968,242.220,close
6.001,237.000,close
6.037,241.720,close
6.068,238.140,close
6.100,235.060,close
6.134,240.280,close
6.169,234.520,close
6.201,237.920,close
6.240,234.460,close
6.270,240.720,close
6.301,239.600,close
6.337,237.380,close
6.370,238.220,close
6.403,240.180,close
6.434,241.960,close
6.468,237.240,close
6.501,239.120,close
6.534,238.700,close
6.570,234.340,close
6.604,236.260,close
6.635,238.460,close
6.669,244.200,close
6.701,240.160,close
6.735,238.540,close
6.769,245.460,close
6.800,233.360,close
6.835,242.920,close
6.870,235.120,close
6.902,242.800,close
6.938,237.340,close
6.969,241.960,close
7.004,237.440,close
7.041,238.020,close
7.076,240.760,close
7.103,241.820,close
7.134,245.000,close
7.169,241.680,close
7.200,243.140,close
7.236,245.800,close
7.268,242.300,close
7.301,238.840,close
7.335,237.600,close
7.371,242.600,close
7.401,240.360,close
7.438,244.320,close
7.469,239.540,close
7.501,239.220,close
7.535,242.920,close
7.570,242.120,close
7.600,237.680,close
7.635,241.580,close
7.669,247.540,close
7.703,242.280,close
7.738,244.000,close
7.774,243.720,close
7.811,239.280,close
7.836,238.040,close
7.878,241.740,close
7.902,238.740,close
7.934,242.220,close
7.969,239.500,close
8.002,243.700,close
8.035,245.340,close
8.069,240.420,close
8.103,243.860,close
8.138,242.060,close
8.169,245.920,close
0.029,245.440,init
0.058,248.440,init
0.094,237.720,init
0.127,244.720,init
0.159,239.000,init
0.191,241.840,move
0.233,238.980,move
0.265,244.620,move
0.293,245.780,move
0.328,237.920,move
0.362,239.600,move
0.390,245.900,move
0.424,238.960,move
0.458,243.000,move
0.490,243.880,move
0.525,244.700,move
0.561,238.600,move
0.591,241.220,move
0.626,240.720,move
0.662,238.060,move
0.694,241.720,move
0.726,238.860,move
0.760,241.500,move
0.792,236.960,move
0.828,238.940,move
0.860,241.660,move
0.892,235.700,move
0.933,247.640,move
0.959,243.160,move
0.994,237.820,move
1.029,234.940,move
1.063,242.880,move
1.093,242.000,move
1.128,241.000,move
1.160,236.020,move
1.191,244.600,move
1.228,241.620,move
1.259,231.580,move
1.291,241.440,move
1.326,239.300,move
1.362,239.240,move
1.391,242.600,move
1.430,244.980,move
1.469,239.520,move
1.491,243.760,move
1.527,239.540,move
1.560,241.440,move
1.595,240.740,move
1.626,239.760,move
1.662,242.660,move
1.692,249.260,move
1.725,240.620,move
1.768,248.700,move
1.791,243.900,move
1.829,243.740,move
1.862,241.500,move
1.895,243.200,move
1.927,240.960,move
1.959,239.160,move
1.992,242.060,move
2.026,235.880,move
2.059,242.640,move
2.091,237.520,move
2.130,238.920,move
2.169,249.020,move
2.194,242.560,move
2.231,244.220,move
2.260,238.840,move
2.294,243.640,move
2.329,242.420,move
2.360,239.200,move
2.392,240.880,move
2.428,238.260,move
2.460,241.800,move
2.493,236.360,move
2.526,241.820,move
2.566,237.420,move
2.594,243.240,move
2.629,239.880,move
2.664,235.420,move
2.694,239.940,close
2.727,234.860,close
2.761,236.380,close
2.795,236.520,close
2.828,235.980,close
2.860,236.680,close
2.893,242.440,close
2.927,232.900,close
2.963,241.800,close
2.997,234.760,close
3.028,238.520,close
3.061,235.200,close
3.093,237.100,close
3.127,233.900,close
3.160,236.060,close
3.193,235.320,close
3.227,237.520,close
3.263,236.320,close
3.293,239.000,close
3.326,236.740,close
3.364,231.960,close
3.398,231.240,close
3.428,237.320,close
3.463,237.520,close
3.494,232.240,close
3.528,235.380,close
3.563,229.140,close
3.594,234.180,close
3.630,233.440,close
3.665,232.640,close
3.695,233.000,close
3.729,229.260,close
3.763,234.080,close
3.796,236.540,close
3.829,234.060,close
3.869,232.820,close
3.895,230.560,close
3.931,231.960,close
3.961,233.220,close
3.995,235.420,close
4.026,231.300,close
4.061,234.860,close
4.098,231.440,close
4.130,231.680,close
4.164,236.380,close
4.203,232.360,close
4.237,235.700,close
4.261,231.000,close
4.296,229.040,close
4.330,227.040,close
4.361,233.720,close
4.393,233.120,close
4.429,233.240,close
4.463,235.340,close
4.492,228.660,close
4.535,236.680,close
