d_measured,d_error,theta_measured,theta_error
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.337,0.086,-0.075,0.001
1.337,0.086,0.129,0.206
1.337,0.086,0.129,0.207
1.337,0.086,0.129,0.207
1.343,0.080,0.129,0.207
1.343,0.080,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.337,0.087,-0.075,0.002
1.337,0.087,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.337,0.087,-0.075,0.002
1.337,0.087,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.323,0.100,-0.075,0.002
1.323,0.100,-0.075,0.002
1.337,0.087,-0.075,0.002
1.337,0.087,-0.075,0.002
1.323,0.100,-0.075,0.002
