[ros2run]: Process exited with failure 1
1.387,-0.015,-0.516,-1.077
1.387,-0.015,0.541,-0.020
1.288,-0.111,0.541,0.088
1.288,-0.111,0.510,0.058
1.281,-0.117,0.510,0.099
1.281,-0.117,0.476,0.064
1.297,-0.099,0.476,0.109
1.297,-0.099,0.430,0.064
1.300,-0.095,0.430,0.161
1.300,-0.095,0.371,0.102
1.293,-0.100,0.371,0.154
1.293,-0.100,0.273,0.056
1.303,-0.090,0.273,0.135
1.303,-0.090,0.228,0.089
1.301,-0.092,0.228,0.142
1.301,-0.092,0.141,0.055
1.298,-0.094,0.141,0.153
1.298,-0.094,0.085,0.096
1.300,-0.092,0.085,0.156
1.300,-0.092,0.017,0.089
1.313,-0.080,0.017,0.149
1.313,-0.080,0.139,0.270
1.295,-0.099,0.139,0.330
1.295,-0.099,-0.107,0.084
1.282,-0.113,-0.107,0.129
1.282,-0.113,0.028,0.265
1.306,-0.090,0.028,0.369
1.306,-0.090,-0.219,0.122
1.306,-0.094,-0.219,0.216
1.306,-0.094,-0.334,0.101
1.292,-0.112,-0.334,0.235
1.292,-0.112,-0.412,0.156
1.276,-0.130,-0.412,0.201
1.276,-0.130,-0.493,0.120
1.353,-0.054,-0.493,0.150
1.353,-0.054,-0.529,0.114
1.334,-0.066,-0.529,-1.033
1.334,-0.066,0.527,0.023
1.277,-0.121,0.527,0.093
1.277,-0.121,0.486,0.053
1.298,-0.096,0.486,0.180
1.298,-0.096,0.460,0.154
1.295,-0.099,0.460,0.195
1.295,-0.099,0.362,0.097
1.307,-0.085,0.362,0.266
1.307,-0.085,0.295,0.198
1.299,-0.093,0.295,0.266
1.299,-0.093,0.216,0.199
1.299,-0.094,0.216,0.296
1.299,-0.094,0.087,0.179
1.297,-0.098,0.087,0.355
1.297,-0.098,-0.124,0.143
1.301,-0.096,-0.124,0.233
1.301,-0.096,-0.199,0.158
1.260,-0.137,-0.199,0.173
1.260,-0.138,-0.071,0.316
1.301,-0.098,-0.071,0.335
1.301,-0.098,-0.323,0.097
1.294,-0.106,-0.323,0.120
1.294,-0.106,-0.405,0.052
1.295,-0.106,-0.405,0.086
1.295,-0.106,-0.455,0.036
1.277,-0.126,-0.455,0.081
1.277,-0.126,-0.461,0.075
1.278,-0.129,-0.461,0.171
1.278,-0.129,-0.504,0.129
1.351,-0.058,-0.504,0.169
1.351,-0.058,-0.533,0.140
1.327,-0.073,-0.533,-1.044
1.327,-0.073,0.525,0.029
1.273,-0.126,0.525,0.059
1.273,-0.126,0.497,0.031
1.292,-0.105,0.497,0.110
1.292,-0.105,0.467,0.079
1.296,-0.097,0.467,0.285
1.296,-0.097,0.397,0.215
1.296,-0.096,0.397,0.283
1.296,-0.096,0.339,0.224
1.300,-0.093,0.339,0.284
1.300,-0.093,0.238,0.183
1.302,-0.090,0.238,0.239
1.302,-0.090,0.147,0.149
1.303,-0.089,0.147,0.250
1.303,-0.089,0.072,0.175
1.295,-0.098,0.072,0.238
1.295,-0.098,-0.041,0.126
1.295,-0.100,-0.041,0.190
1.295,-0.100,-0.105,0.144
1.300,-0.095,-0.105,0.174
1.300,-0.095,-0.169,0.110
1.304,-0.092,-0.169,0.162
1.304,-0.092,-0.233,0.098
1.298,-0.100,-0.233,0.143
1.298,-0.100,-0.302,0.075
1.230,-0.169,-0.302,0.116
1.230,-0.169,-0.174,0.243
1.292,-0.109,-0.174,0.299
1.292,-0.109,-0.422,0.052
1.285,-0.119,-0.422,0.148
1.285,-0.119,-0.475,0.095
1.286,-0.121,-0.475,0.159
1.286,-0.121,-0.500,0.134
1.369,-0.041,-0.500,0.193
1.369,-0.041,-0.533,0.159
1.324,-0.075,-0.533,-1.017
1.324,-0.075,0.522,0.038
1.275,-0.121,0.522,0.138
1.275,-0.121,0.492,0.109
1.299,-0.096,0.492,0.161
1.299,-0.096,0.414,0.083
1.304,-0.090,0.414,0.158
1.304,-0.090,0.342,0.086
1.307,-0.086,0.342,0.120
1.307,-0.086,0.278,0.056
1.301,-0.092,0.278,0.112
1.301,-0.092,0.222,0.055
1.301,-0.092,0.222,0.142
1.301,-0.092,0.173,0.093
1.306,-0.086,0.173,0.153
1.306,-0.086,0.094,0.074
1.295,-0.098,0.094,0.108
1.295,-0.098,0.033,0.047
1.313,-0.079,0.033,0.107
1.313,-0.079,0.007,0.080
1.301,-0.092,0.007,0.174
1.301,-0.092,-0.042,0.125
1.303,-0.090,-0.042,0.159
1.303,-0.090,-0.121,0.080
1.300,-0.095,-0.121,0.140
1.300,-0.095,-0.170,0.091
1.298,-0.098,-0.170,0.162
1.298,-0.098,-0.234,0.098
1.307,-0.091,-0.234,0.158
1.307,-0.091,-0.295,0.097
1.292,-0.117,-0.295,0.376
1.292,-0.117,-0.391,0.280
1.306,-0.106,-0.391,0.339
1.306,-0.106,-0.520,0.210
